"File","Id","Status","Matched","Lines","OssLines","Vendor","Component","Version","Latest","Licenses","OssFile","ReleaseDate","Url","Purl","SourceHash","FileHash"
"web/src/components/ui/switch.tsx","file","pending","100%","all","all","Drake0306","Nextjs-Tailwind-radix-shadcn-UI--Staterkit","V0.1","V0.1","MIT","registry/default/ui/switch.tsx","2023-12-03","https://github.com/Drake0306/Nextjs-Tailwind-radix-shadcn-UI--Staterkit","pkg:github/drake0306/nextjs-tailwind-radix-shadcn-ui--staterkit","368340dd3f28bce468a5ffdebb321520","368340dd3f28bce468a5ffdebb321520"
"web/src/components/ui/table.tsx","file","pending","100%","all","all","Drake0306","Nextjs-Tailwind-radix-shadcn-UI--Staterkit","V0.1","V0.1","MIT","registry/default/ui/table.tsx","2023-12-03","https://github.com/Drake0306/Nextjs-Tailwind-radix-shadcn-UI--Staterkit","pkg:github/drake0306/nextjs-tailwind-radix-shadcn-ui--staterkit","efdbaeb9710b2f60de7c0e18bd4e3528","efdbaeb9710b2f60de7c0e18bd4e3528"
"web/src/components/ui/tabs.tsx","file","pending","100%","all","all","shadcn-ui","ui","shadcn-ui@0.2.0","shadcn@4.0.3","MIT","apps/www/registry/default/ui/tabs.tsx","2023-06-22","https://github.com/shadcn-ui/ui","pkg:github/shadcn-ui/ui | pkg:golang/github.com/shadcn-ui/ui | pkg:npm/hghcn | pkg:maven/org.mvnpm/shadcn","2dbb55bc73557d9794b1f166bb7e903b","2dbb55bc73557d9794b1f166bb7e903b"
"web/src/components/ui/textarea.tsx","file","pending","100%","all","all","","github.com/shadcn-ui/ui","v0.0.0-20241108162601-4a0d4cfdb9f8","v0.0.0-20241108162601-4a0d4cfdb9f8","MIT","apps/www/registry/default/ui/textarea.tsx","2024-11-08","https://proxy.golang.org/github.com/shadcn-ui/ui/@v/v0.0.0-20241108162601-4a0d4cfdb9f8.zip","pkg:golang/github.com/shadcn-ui/ui | pkg:github/shadcn-ui/ui | pkg:npm/hghcn | pkg:maven/org.mvnpm/shadcn","6eb8633e9e461056b9bf88dfaf25fc6d","6eb8633e9e461056b9bf88dfaf25fc6d"
"web/src/components/ui/tooltip.tsx","file","pending","100%","all","all","robertwhiffin","ai-slide-generator","v0.2.8","v0.4.0","Apache-2.0, ISC, MIT, MIT AND CC0-1.0, 0BSD","frontend/src/ui/tooltip.tsx","2026-04-28","https://github.com/robertwhiffin/ai-slide-generator","pkg:github/robertwhiffin/ai-slide-generator","b9a8944e28c9d05ccc1a6603dac424e3","b9a8944e28c9d05ccc1a6603dac424e3"
"web/src/features/auth/authApi.ts","snippet","pending","18%","31-45","38-52","djryanj","media-viewer","v0.19.0","v0.19.0","MIT","frontend/src/lib/api/client.ts","2026-06-15","https://github.com/djryanj/media-viewer","pkg:github/djryanj/media-viewer","e94b484025b4858e0c76ae9a2e97d1bd","bc0d3250ad41f8ff8115ac650a1bbe8a"
"web/src/features/combo-io/components/ImportCommitConfirmDialog.tsx","snippet","pending","21%","43-55","26-38","SamikBeach","frontend","1.50.0","1.50.0","MIT","src/app/write-review/LeaveConfirmDialog.tsx","2025-01-26","https://github.com/samikbeach/frontend","pkg:github/samikbeach/frontend","e164f0245dfb505529478fb81d221022","c7cd8f4f6a36428b707e953f166bf3d1"
"web/src/features/combo/components/CharacterChangeConfirmDialog.tsx","snippet","pending","54%","7-32","6-31","cristian-home","sgte-app","v1.2.0","v1.2.0","","resources/js/components/admin/delete-user-dialog.tsx","2026-06-03","https://github.com/cristian-home/sgte-app","pkg:github/cristian-home/sgte-app","80cae01ad715c27db81d1adcd3b3bc9d","31d757aac2ad425c410f50b968203457"
"web/src/features/combo/components/ComboDetailHeader.test.tsx","snippet","pending","18%","69-90","455-476","golang","github.com/seanbao/mnemonas","v0.0.0-20260718155800-bfdad2a13915","v0.0.0-20260718155800-bfdad2a13915","MIT","web/src/pages/Trash.test.tsx","2026-07-19","https://proxy.golang.org/github.com/seanbao/mnemonas/@v/v0.0.0-20260718155800-bfdad2a13915.zip","pkg:golang/github.com/seanbao/mnemonas | pkg:github/seanbao/mnemonas","3c9a1bc254fa96f0327ac69f88155abd","65f975bf6b386205d6fe3310e7e89816"
"web/src/features/combo/components/DuplicateWarning.tsx","snippet","pending","80%","7-36","11-40","mai-with-u","maibot","1.0.0-pre.1","1.0.0-pre.10","GPL-3.0-only","dashboard/src/routes/resource/expression/ExpressionDialogs.tsx","2026-04-18","https://github.com/mai-with-u/maibot","pkg:github/mai-with-u/maibot","b55998a2f1084baa253f0c5d665be2ee","2053fd96396cf6ad3f9145ceb5e05e50"
