"File","Id","MatchPercent","Lines","OssLines","Hits","Vendor","Component","Version","Latest","Licenses","Copyleft","Purl","Url","OssFile","Status"
"cmd/genicon/main.go","snippet","4","127-133","226-232","7","golang","github.com/diodechain/diode_client","v0.0.0-20260430135537-6745a6e150cb","v1.18.9","BSD-3-Clause","no","pkg:golang/github.com/diodechain/diode_client, pkg:github/diodechain/diode_client","https://proxy.golang.org/github.com/diodechain/diode_client/@v/v0.0.0-20260430135537-6745a6e150cb.zip","cmd/diode/tray_impl.go","pending"
"internal/api/auth/cookie.go","snippet","39","32-53","347-368","2","jbrodriguez","unbalance","2026.04.25","2026.04.25","MIT","no","pkg:github/jbrodriguez/unbalance","https://github.com/jbrodriguez/unbalance","daemon/services/server/auth.go","pending"
"internal/api/combo/permanent_delete_handler_test.go","snippet","59","32-79","1192-1239","6","golang","github.com/uwaserver/uwas","v0.8.10-0.20260711235416-6ce144e75229","v0.8.10-0.20260711235416-6ce144e75229","AGPL-3.0","","pkg:golang/github.com/uwaserver/uwas","https://proxy.golang.org/github.com/uwaserver/uwas/@v/v0.8.10-0.20260711235416-6ce144e75229.zip","internal/admin/admin_coverage15_test.go","pending"
"internal/api/debug/handler.go","snippet","12","132-151","209-228","6","AmarsDing","aranea-agents","v0.1.0","v0.1.0","MIT","no","pkg:github/amarsding/aranea-agents","https://github.com/AmarsDing/aranea-agents","cmd/migrate-sqlite-to-postgres/migrator.go","pending"
"internal/api/middleware/logger.go","snippet","28","46-72","146-172","4","golang","github.com/dev-igorcarvalho/don","v0.0.1-beta","v0.0.1-beta","MIT, GPL-3.0-only","no, yes","pkg:golang/github.com/dev-igorcarvalho/don, pkg:github/dev-igorcarvalho/don","https://proxy.golang.org/github.com/dev-igorcarvalho/don/@v/v0.0.1-beta.zip","pkg/server/echoserver/middleware.go","pending"
"internal/desktop/tray_windows.go","snippet","15","25-41,92-108,188-200,265-273,357-368","136-152,120-136,274-286,374-382,577-588","30","Zzz-IT","GoclashZ","v1.2.2","v1.2.2","MIT","no","pkg:github/zzz-it/goclashz","https://github.com/Zzz-IT/GoclashZ","tray_runtime_windows.go","pending"
"internal/infra/log/log.go","snippet","34","55-84","36-65","7","kimzhong","fc-inventory","v2.0.1","v2.0.1","MIT","no","pkg:github/kimzhong/fc-inventory","https://github.com/kimzhong/fc-inventory","internal/logging/logging.go","pending"
"internal/service/auth/password.go","snippet","21","48-68","87-107","4","golang","github.com/benedictemarty/bbsoric","v0.1.3-alpha","v0.1.3-alpha","","","pkg:golang/github.com/benedictemarty/bbsoric","https://proxy.golang.org/github.com/benedictemarty/bbsoric/@v/v0.1.3-alpha.zip","server/internal/user/user.go","pending"
"internal/service/validation/result.go","snippet","61","39-109","96-166","6","vrooli","vrooli","v3.1.0","7b17b39","AGPL-3.0, AGPL-3.0-only",", yes","pkg:github/vrooli/vrooli, pkg:golang/github.com/vrooli/vrooli/scenarios/vrooli-events","https://github.com/vrooli/vrooli","scenarios/test-genie/api/internal/requirements/types/errors.go","pending"
"web/src/components/Footer.test.tsx","snippet","11","56-63","45-52","3","perisicnikola37","dev-to-rater","f8d6e3a","7e87122","MIT","no","pkg:github/perisicnikola37/dev-to-rater","https://github.com/perisicnikola37/dev-to-rater","frontend/src/components/wrappers/__tests__/breadcrumb.test.tsx","pending"
"web/src/components/ui/accordion.tsx","file","100","all","all",,"utmist","utmist2","39d05aa","39d05aa","Apache-2.0","no","pkg:github/utmist/utmist2","https://github.com/utmist/utmist2","app/common/ai2/ui/accordion.tsx","pending"
"web/src/components/ui/alert-dialog.tsx","snippet","95","6-145","4-143","82","z-korp","zkube","2576b30","be5d501","MIT","no","pkg:github/z-korp/zkube","https://github.com/z-korp/zkube","client/src/ui/elements/alert-dialog.tsx","pending"
